text,label
"I want to check my account balance",balance_inquiry
"What's my current balance?",balance_inquiry
"Can you tell me how much money I have?",balance_inquiry
"Show me my account balance",balance_inquiry
"Balance check",balance_inquiry
"I forgot my pin",pin_reset
"Need to reset my PIN",pin_reset
"My PIN isn't working",pin_reset
"How can I change my PIN?",pin_reset
"PIN reset help",pin_reset
"My ATM card was swallowed",card_issue
"My card got stuck in the ATM",card_issue
"Lost my debit card",card_issue
"My card is damaged",card_issue
"Need to report a stolen card",card_issue
"Why was money deducted from my account?",complaint
"I have a billing dispute",complaint
"Unauthorized transaction on my account",complaint
"Charged twice for the same purchase",complaint
"Want to file a complaint",complaint
"Send 20,000 to my friend",transfer_funds
"Transfer money to my wife",transfer_funds
"Wire 50,000 to account 123456",transfer_funds
"Make a payment to John Doe",transfer_funds
"Need to send money internationally",transfer_funds
"I want to open a savings account",open_account
"How do I open a fixed deposit?",open_account
"Create new current account",open_account
"Open a joint account with my spouse",open_account
"Start a new investment account",open_account
"Update my phone number on file",change_phone_number
"Change my registered mobile number",change_phone_number
"My phone number changed, need to update",change_phone_number
"Update contact information",change_phone_number
"Need to change my address",change_phone_number
"I did not get an alert for my last transaction",bank_alert_issue
"Why didn't I receive a transaction alert?",bank_alert_issue
"My SMS notifications have stopped",bank_alert_issue
"Please reactivate my transaction alerts",bank_alert_issue
"I want to activate transaction alerts",bank_alert_issue
"What is my BVN?",bvn_inquiry
"I forgot my Bank Verification Number",bvn_inquiry
"How can I retrieve my BVN?",bvn_inquiry
"I need to link my BVN to my account",bvn_inquiry
"Check my BVN details",bvn_inquiry
"I want to generate a token for a transaction",token_otp
"My token is not working",token_otp
"I did not receive my OTP",token_otp
"Resend my One-Time Password",token_otp
"How do I use the banking token?",token_otp
"Please explain the COT charge on my statement",charge_inquiry
"What is this account maintenance fee for?",charge_inquiry
"Why was I charged for this transaction?",charge_inquiry
"Can you waive this bank charge?",charge_inquiry
"Explain all charges on my statement",charge_inquiry
"How do I make a transfer via USSD?",ussd_banking
"I want to bank using my phone without internet",ussd_banking
"The *945# code is not working",ussd_banking
"How can I check my balance with USSD?",ussd_banking
"Set up USSD banking for me",ussd_banking
"I want to activate internet banking",ebanking_request
"How do I log in to e-banking?",ebanking_request
"Reset my online banking password",ebanking_request
"I can't access my e-banking profile",ebanking_request
"Update my internet banking details",ebanking_request
"Pay my electricity bill",bill_payment
"Need to pay credit card bill",bill_payment
"Make a utility payment",bill_payment
"Schedule monthly bill payments",bill_payment
"Pay water bill",bill_payment
"Show my last 10 transactions",transaction_history
"Transaction history for last month",transaction_history
"Recent transactions",transaction_history
"Download my account statement",transaction_history
"Statement for January 2024",transaction_history
"Report fraudulent activity",report_fraud
"Someone used my card without permission",report_fraud
"I think my account has been hacked",report_fraud
"Report suspicious transaction",report_fraud
"Fraud alert on my account",report_fraud
"What are your loan interest rates?",loan_inquiry
"Apply for home loan",loan_inquiry
"Car loan requirements",loan_inquiry
"Check my loan eligibility",loan_inquiry
"Loan application status",loan_inquiry
"Activate my new debit card",card_activation
"How to activate my credit card?",card_activation
"Card activation required",card_activation
"Make my new card active",card_activation
"Activate replacement card",card_activation
"Check current exchange rates",exchange_rates
"What's USD to EUR rate?",exchange_rates
"Currency conversion rates",exchange_rates
"Foreign exchange rates for USD",exchange_rates
"Today's conversion rates",exchange_rates
"Set up automatic savings",automatic_savings
"Schedule recurring transfer to savings",automatic_savings
"Automate monthly savings",automatic_savings
"Set up standing instruction for savings",automatic_savings
"Recurring deposit setup",automatic_savings
"Close my account",close_account
"How to terminate my bank account?",close_account
"Account closure request",close_account
"Delete my banking account",close_account
"Stop my account service",close_account
"What's my credit card limit?",credit_limit
"Check available credit",credit_limit
"How much more can I spend on my card?",credit_limit
"Credit limit increase request",credit_limit
"Current credit limit information",credit_limit
"Find nearest ATM",branch_atm_locator
"Where's the closest branch?",branch_atm_locator
"ATM locations near me",branch_atm_locator
"Find bank branches in Lagos",branch_atm_locator
"Nearest cash deposit machine",branch_atm_locator
"Transfer via USSD banking",ussd_banking
"*945# not working",ussd_banking
"How to use Wema Bank USSD code?",ussd_banking
"USSD banking setup for First Bank",ussd_banking
"Mobile banking without internet",ussd_banking
"I need to update my BVN details",bvn_inquiry
"BVN linking problem",bvn_inquiry
"Check BVN with my phone number",bvn_inquiry
"Bank Verification Number issues",bvn_inquiry
"BVN validation failed",bvn_inquiry
"My bank alert is not coming",bank_alert_issue
"Transaction alert not received",bank_alert_issue
"SMS notification problem",bank_alert_issue
"Activate free bank alerts",bank_alert_issue
"Stop transaction alerts",bank_alert_issue
"Token not generating codes",token_otp
"Hard token battery dead",token_otp
"Soft token installation",token_otp
"OTP delivery failed",token_otp
"Authentication token issues",token_otp
"Explain SMS charges on my account",charge_inquiry
"What is AMF charge?",charge_inquiry
"VAT on bank charges",charge_inquiry
"Transaction fee explanation",charge_inquiry
"Bank charges too high",charge_inquiry
"Internet banking registration",ebanking_request
"Mobile app download help",ebanking_request
"Online banking activation code",ebanking_request
"E-banking password reset",ebanking_request
"Digital banking setup",ebanking_request
